022$a	245$a	260$b
1984-2430 (electronic)	GEPROS	UNESP
2194-4229 (electronic)	Gesundheitsrecht	de Gruyter;O. Schmidt
1869-6104 (electronic)	"Groups, complexity, cryptology"	Heldermann Verlag;De Gruyter
2249-3182 (electronic)	Gyankosh	INMATEC Business School
2052-3289 (electronic)	High power laser science and engineering	"Cambridge University Press,"
2573-1076 (electronic)	Hispanic engineer	"[Pre-Professional Publications],;[Career Communications Group]"
2300-8709 (electronic)	Image processing & communications	Versita;De Gruyter Open
2247-4528 (electronic)	INCAS bulletin	"National Institute for Aerospace Research ""Elie Carafoli""-- INCAS"
0122-056X (electronic)	Informador t{acute}ecnico	"ASTIN - Centro Nacional de Asistencia T{acute}ecnica a la Industria,"
2227-9709 (electronic)	Informatics	"MDPI AG,"
2078-2489 (electronic)	Information	"Multidisciplinary Digital Publishing Institute,"
1619-4292 (electronic)	Information Wissenschaft & Praxis	De Gruyter Saur
1473-7507 (electronic)	Innovations in teaching and learning in information and computer sciences	"Learning and Teaching Support Network,"
2277-7970 (electronic)	International journal of advanced computer research	"[Accent Social and Welfare Society],"
0975-0282 (electronic)	International journal of advanced networking and applications	Eswar Publications
0976-5697 (electronic)	International journal of advanced research in computer science	"[International journal of advanced research in computer Science],"
2231-1963 (electronic)	International journal of advances in engineering and technology	[publisher not identified]
2180-1606 (electronic)	International journal of automotive and mechanical engineering	"Automotive Engineering Centre (AEC), Universiti Malaysia Pahang,"
0976-2965 (electronic)	International journal of bioengineering and technology	[publisher not identified]
0975-2161 (electronic)	"International journal of biosciences, psychiatry, and technology (IJBSPT)"	"International Journal of Biosciences, Psychiatry, and Technology"
2412-8856 (electronic)	International journal of computer engineering and information technology	"Dorma Trading,"
2074-9104 (electronic)	International journal of computer network and information security	MECS Publisher
1694-0784 (electronic)	International journal of computer science issues	"International Journal of Computer Science Issues,"
1687-9333 (electronic)	International journal of corrosion	Hindawi Pub. Corp.
2071-2987 (electronic)	"International journal of design, analysis and tools for integrated circuits and systems"	"Solari (HK) Co.,"
2300-1933 (electronic)	International Journal of Electronics and Telecommunications	De Gruyter Open
2074-9082 (electronic)	"International journal of image, graphics and signal processing"	MECS Publisher
2249-5576 (electronic)	International journal of information dissemination and technology	"Maharishi Markandeshwar University,"
2074-9031 (electronic)	International journal of information engineering and electronic business	MECS Publisher
2028-9324 (electronic)	International journal of innovation and applied studies	Innovative Space of Scientific Research Journals
2074-9058 (electronic)	International journal of intelligent systems and applications	MECS Publisher
2198-2791 (electronic)	International journal of mechanical and materials engineering	Springer Singapore
2315-5019 (electronic)	International journal of medicine and biomedical research	Michael Joanna Publications
2107-6847 (electronic)	International journal of metrology and quality engineering	"EDP Sciences,"
1759-0795 (electronic)	International journal of microwave and wireless technologies	Cambridge University Press
2228-5059 (electronic)	International journal of nano dimension	"Islam Azad University, Tonekabon Branch"
2079-2557 (electronic)	International journal of research and reviews in computer science	Science Academy Publisher
2307-4892 (electronic)	International journal of technology and research	"Technology and Research Publications,"
2162-0199 (electronic)	International journal on civil and environmental engineering	ACEE
2162-0059 (electronic)	International journal on manufacturing and material science	AMAE
2162-0016 (electronic)	International journal on production and industrial engineering	AMAE
2162-0075 (electronic)	International journal on transportation and urban development	ACEE
2165-9087 (electronic)	Intravital	"Landes Bioscience,;Taylor & Francis"
2169-0707 (electronic)	Intrinsically disordered proteins	"Landes Bioscience,;Taylor & Francis"
2090-7508 (electronic)	ISRN ceramics	"Hindawi Publishing Corporation,"
2090-861X (electronic)	ISRN chemical engineering	International Scholarly Research Network
2090-8636 (electronic)	ISRN chromatography	"Hindawi Publishing Corporation,"
2090-8903 (electronic)	ISRN corrosion	"Hindawi Publishing Corporation,"
2090-8679 (electronic)	ISRN electronics	International Scholarly Research Network
2090-8717 (electronic)	ISRN metallurgy	International Scholarly Research Network
2090-8733 (electronic)	ISRN polymer science	Hindawi Publishing Corporation
2090-505X (electronic)	ISRN signal processing	Hindawi Pub. Corp.
2090-8776 (electronic)	ISRN spectroscopy	Hindawi Pub. Co.
2090-5211 (electronic)	ISRN thermodynamics	Hindawi Publishing Corporation
2271-2097 (electronic)	ITM web of conferences	"EDP Sciences,"
2227-8508 (electronic)	Journal of advanced ceramics	"Springer,"
1946-0163 (electronic)	Journal of artificial general intelligence	Versita
2329-258X (electronic)	The Journal of aviation/aerospace education & research	"Embry-Riddle Aeronautical University,"
2148-9823 (electronic)	Journal of Balkan Libraries Union	Trayka University and Balkan Libraries Union
2296-9845 (electronic)	"Journal of biomimetics, biomaterials and biomedical engineering"	"Trans Tech Publications,"
1609-9389 (electronic)	Journal of computational methods in applied mathematics	"Institute of Mathematics of the National Academy of Sciences of Belarus,"
2090-715X (electronic)	Journal of computer networks and communications	Hindawi Pub. Corp.
2067-2101 (electronic)	Journal of computer science and control systems	Universitatea din Oradea
0974-7850 (electronic)	Journal of dental implants	Medknow Publications and Media
2221-3759 (electronic)	Journal of developmental biology	"MDPI AG,"
1339-309X (electronic)	Journal of electrical engineering	De Gruyter Open
2314-4912 (electronic)	Journal of engineering	"Hindawi Publishing Corporation,"
2344-4932 (electronic)	Journal of engineering studies and research	"Universitatea ""Vasile Alecsandri"" din Bac{breve}au"
2158-3897 (electronic)	Journal of information policy	"Institute for Information Policy, Pennsylvania State University"
1880-0688 (electronic)	Journal of laser micro/nanoengineering	"Japan Laser Processing Society,"
2079-9268 (electronic)	Journal of low power electronics and applications	"MDPI Publishing,"
2191-0243 (electronic)	Journal of the mechanical behavior of materials	De Gruyter
1796-2048 (electronic)	Journal of multimedia	Academy Publisher
2345-4202 (electronic)	Journal of nephropharmacology	"Society of Diabetic Nephropathy Prevention,"
1796-2056 (electronic)	Journal of networks	Academy Publisher
2191-6322 (electronic)	Journal of optical communications	De Gruyter
2229-4082 (electronic)	Journal of oral health & research	[s.n.]
2083-4195 (electronic)	Journal of power technologies	"Warsaw University of Technology, Institut of Heat Engineering,"
2314-8047 (electronic)	Journal of quality and reliability engineering	"Hindawi Publishing Corporation,"
2254-7053 (electronic)	Journal of science and cycling	Cycling Research Center
2224-2708 (electronic)	Journal of sensor and actuator networks	"MDPI AG,"
2194-878X (electronic)	Journal of sensors and sensor systems	"Copernicus Gesellschaft mbH on behalf of AMA Verband f{uml}ur Sensorik und Messtechnik (AMA),"
1804-2724 (electronic)	Journal of systems integration	Czech Society for Systems Integration
1314-8710 (electronic)	Journal of theoretical and applied mechanics	"Bulgarian Academy of Sciences, National Committee of Theoretical and Applied Mechanics"
1638-5705 (electronic)	J3eA	EDP Sciences
2378-7600 (electronic)	Kansas working papers in linguistics	"University of Kansas, Department of Linguistics,"
1662-9795 (electronic)	Key engineering materials	"Trans Tech Publications,"
1804-1213 (electronic)	Koroze a ochrana materi{acute}alu	Asociace korozn{acute}ich in{caron}zen{acute}yr{ring}u;Versita Open;De Gruyter Open
2075-4442 (electronic)	Lubricants	"MDPI AG,"
1179-2728 (electronic)	Lung cancer	"Dove Medical Press,"
2075-1702 (electronic)	Machines	"MDPI AG,"
2261-236X (electronic)	MATEC web of conferences	"EDP Sciences - Web of Conferences,"
1337-2211 (electronic)	Mathematica Slovaca	Versita;De Gruyter
2227-7390 (electronic)	Mathematics	"MDPI AG,"
2191-916X (electronic)	Mechanical sciences	Copernicus
2075-4701 (electronic)	Metals	"MDPI AG,"
2072-666X (electronic)	Micromachines	"Multidisciplinary Digital Publishing Institute,"
2199-594X (electronic)	Mitteilungen der Deutschen Mathematiker-Vereinigung	De Gruyter
2079-4991 (electronic)	Nanomaterials	"MDPI AG,"
2192-8614 (electronic)	Nanophotonics	"De Gruyter ;;Science Wise Publishing,;De Gruyter Open ;;In co-publication with Science Wise Publishing"
2192-8029 (electronic)	Nonlinear engineering	De Gruyter
2321-3663 (electronic)	Octa journal of biosciences	Scientific Planet Society
1178-6396 (electronic)	Organic chemistry insights	Libertas Academica
1789-3437 (electronic)	Periodica Polytechnica.	Budapest University of Technology and Economics
2304-6732 (electronic)	Photonics	"MDPI AG,"
2193-0643 (electronic)	Photonics & lasers in medicine	"De Gruyter,"
1945-7413 (electronic)	Powder diffraction	International Centre for Diffraction Data
1804-0462 (electronic)	The Prague bulletin of mathematical linguistics	"Universita Karlova,;De Gruyter"
1931-7387 (electronic)	"Proceedings of the Conference on Digital Forensics, Security and Law"	"Association of Digital Forensics, Security, and Law,"
2227-9717 (electronic)	Processes	MDPI AG
2227-7382 (electronic)	Proteomes	"MDPI AG, Multidisciplinary Digital Publishing Institute,"
2195-4720 (electronic)	Pteridines	Walter de Gruyter
2223-7895 (electronic)	Pythagoras	Association for Mathematics Education of South Africa
1867-7185 (electronic)	Rare metals	RM Mini-computer Pub. Office;Springer
1178-6426 (electronic)	Reproductive biology insights	Libertas Academic
1909-9991 (electronic)	Revista ingenier{acute}ia biom{acute}edica	"Escuela de Ingenier{acute}ia de Antioquia, Universidad CES"
2422-2844 (electronic)	Revista Facultad de Ingenier{acute}ia	Universidad de Antioquia
2218-6581 (electronic)	Robotics	"MDPI AG,"
1338-5011 (electronic)	Scientific proceedings	"Faculty of Mechanical Engineering, Slovak University of Technology"
2254-9307 (electronic)	Signa	"Instituto de Semi{acute}otica Literaria y Teatral, Departamentos de Literatura Espa{tilde}nola y Teor{acute}ia de la Literatura y Filolog{acute}ia Francesa, Universidad Nacional de Educaci{acute}on a Distancia"
1338-3973 (electronic)	Slovak journal of civil engineering	"Faculty of Civil Engineering, Slovak Technical University;DE GRUYTER OPEN"
1338-7227 (electronic)	Slovak raptor journal	Versita;De Gruyter Open
1662-9779 (electronic)	Diffusion and defect data.	"[Sci-Tech Publications],;[Trans Tech Publications]"
1935-0988 (electronic)	Steel in translation	Allerton Press
2154-428X (electronic)	Studies in African linguistics	"Department of Linguistics and the African Studies Center, University of California,"
2079-8954 (electronic)	Systems	"MDPI AG,"
2227-7080 (electronic)	Technologies	"MDPI AG.,"
2248-7638 (electronic)	Tecnura	Universidad Distrital Francisco Jose de Caldas
2300-889X (electronic)	Theoretical and applied informatics	Versita
1407-6179 (electronic)	Transport and telecommunication	Versita ;;Walter de Gruyter GmbH
2372-9252 (electronic)	Video edge	New Bay Media
1573-1413 (electronic)	World wide web	Baltzer Science Publishers
2196-7156 (electronic)	Zeitschrift f{uml}ur physikalische Chemie	Oldenbourg Wissenschaftsverlag;De Gruyter
2379-8793	IEEE journal on multiscale and multiphysics computational techniques.	
2153-7615 (electronic)	Administrative issues journal	"Southwestern Oklahoma State University,"
2203-1413 (electronic)	Advances in Bioscience and Clinical Medicine	"Australian International Academic Centre,"
2508-5859 (electronic)	Annals of hepato-biliary-pancreatic surgery	"Korean Association of Hepato-Biliary-Pancreatic Surgery,"
2153-1323 (electronic)	Harvard journal of sports & entertainment law	Harvard Law School
2162-3082 (electronic)	International journal of accounting and financial reporting	Macrothink Institute Inc.
1756-8307 (electronic)	International journal of micro air vehicles	"SAGE Publications,"
1757-4838 (electronic)	The Journal of Computational Multiphase Flows	"SAGE Publications,"
1948-5468 (electronic)	Journal of sociological research	Macrothink Institute
2470-301X (electronic)	The Second wave	"[Second Wave]:;[Distributed by Carrier Pigeon],"
2217-8333 (electronic)	TEM Journal	"UIKTEN - Association for Information Communication Technology Education and Science, Serbia."
0164-1999	Scientific presentations of the ... annual meeting /	"The Association,"
0364-1961	Scientific presentations and seminar synopses of the annual meeting - American Animal Hospital Association.	American Animal Hospital Assn.
2380-6753 (electronic)	Our state.	
2472-4076 (electronic)	CQ	"CQ Press,"
2471-2906	Phytobiomes.	
2055-6764 (electronic)	Nanoscale horizons	"Royal Society of Chemistry,"
0092-3966	The Remonstrance.	
2432-6631	Noken kiko kenkyu hokoku.	"Noken kiko kaju chagyo kenkyu bumon,"
2470-1505 (electronic)	SNAP :	
2168-3611 (electronic)	International journal of school & educational psychology	Taylor & Francis
2068-8717 (electronic)	"Analele {commab}stiin{commab}tifice ale Universit{breve}a{commab}tii ""Al. I. Cuza"" din Ia{commab}si."	"Universitatea ""Alexandru Ioan Cuza"" din Ia{commab}si;Versita"
2226-9010 (electronic)	Biolohichny{breve}i visnyk Melitopol{softsign}s{softsign}koho der{llig}z{rlig}havnoho pedahohichnoho universytetu imeni Bohdana Khmel{softsign}ny{llig}t{rlig}skoho	Bogdan Chmelnitskiy Melitopol State Pedagogical University
2168-9814 (electronic)	BRG review	"Berkeley Research Group, LLC"
2076-5827 (electronic)	Bulletin de l'Institut fran{cedil}cais d'{acute}etudes andines	Institut fran{cedil}cais d'{acute}etudes andines
2255-8837 (electronic)	Environmental and climate technologies	Riga Technical University
1613-1878 (electronic)	Gender forum	Univ. K{uml}oln
2469-4088 (electronic)	Genesis west	"Chrysalis West Foundation,"
2378-4539 (electronic)	Highlights Hello	"Highlights for Children, Inc.,"
2472-0976 (electronic)	HIM briefings	"HCPro, a division of BLR,"
2090-990X (electronic)	The journal of basic & applied zoology	
2169-1096 (electronic)	National security & armed conflict law review	University of Miami School of Law
2470-5659 (electronic)	The new world journal	"Turtle Island [Foundation] for the Netzahaulcoyotl Historical Society,"
2164-3989 (electronic)	The Professional Counselor	"[The National Board for Certified Counselors, Inc.],"
2304-4845 (electronic)	Strategie und Sicherheit ...	B{uml}ohlau Verlag
2364-933X (electronic)	S{uml}udost-Europa	"S{uml}udost-Institut, Abt. Gegenwartsforschung;De Gruyter"
2168-2763 (electronic)	Transactions of the IRE Professional Group on Quality Control	Institute of Radio Engineers Professional Group on Quality Control
1534-1623	"Health, a concern for every American."	"Instructional Aides,"
2364-3587 (electronic)	"Advances in statistical climatology, meteorology and oceanography"	"Copernicus Gesellschaft  mbH,"
2352-2151 (electronic)	Agri gene	"Elsevier Inc.,"
2469-4460 (electronic)	Annals of the American Association of Geographers	"Taylor & Francis Group,"
2210-6731 (electronic)	Asian journal of business ethics	Springer Science & Business Media
2054-7617 (electronic)	BDJ team	British Dental Association.
2056-6697 (electronic)	BMJ simulation & technology enhanced learning	"BMJ Publishing Group Ltd.,"
2311-9284 (electronic)	Bothalia	"Govt. Print. and Stationery Office,"
2049-7636 (electronic)	The Cambridge yearbook of European legal studies	"Hart,;Cambridge University Press"
1925-0169 (electronic)	The Canadian yearbook of international law.	"Publication Centre, University of British Columbia,;Cambridge Journals [Cambridge University Press]"
2468-2942 (electronic)	Cancer treatment and research communications	"Elsevier,"
2196-5293 (electronic)	Clinical nephrology.	"Dustri-Verlag,"
2451-9103 (electronic)	Current opinion in electrochemistry	"Elsevier,"
2214-9147 (electronic)	Defence technology	"China Ordnance Society,"
2245-8921 (electronic)	Journal of China and international relations	"Aalborg University Press, DIR & Department of Culture and Global Studies at Aalborg University in collaboration with University of International Relations, Beijing,;Aalborg University Press,"
1815-347X (electronic)	Journal of contemporary European research	UACES
2299-8993 (electronic)	Journal of ecological engineering	Polish Society of Ecological Engineering
1347-8648 (electronic)	Journal of pharmacological sciences	"Japanese Pharmacological Society,"
2377-0996 (electronic)	Journal of self-governance and management economics	"Addleton Academic Publishers,"
1995-5235 (electronic)	Journal of transport and supply chain management	African Online Scientific Information Systems
2375-6527 (electronic)	Knowledge cultures	"Addleton Academic Publishers,"
2334-4105 (electronic)	The osprey	"Steelhead Committee, Northwest Regional Council of the Federation of Fly Fishers,;1987-;Steelhead Committee, Federation of Fly Fishers,;Steelhead Committee, Internatioinal Federation of Fly Fishers"
2199-899X (electronic)	Proceedings of the International Association of Hydrological Sciences	"IAHS,;published by Copernicus Publications on behalf of the International Association of Hydrological Sciences (IAHS)"
2377-0716 (electronic)	Psychosociological issues in human resource management	"Addleton Academic Publishers,"
2078-6778 (electronic)	SA journal of radiology	AOSIS Publishing
2472-5560 (electronic)	SLAS discovery	"SAGE Publications,"
2472-6311 (electronic)	SLAS technology	"SAGE Publications,"
1804-9710 (electronic)	Social and natural sciences journal	Central Bohemia University
2372-7233 (electronic)	Sport & entertainment review	"Fitness Information Technology,"
2176-1523 (electronic)	"Tecnologia em metalurgia, materiais e minera{cedil}c{tilde}ao"	"Associa{cedil}c{tilde}ao Brasileira de Metalurgia, Materiais e Minera{cedil}c{tilde}ao,"
1309-4653 (electronic)	Turkish journal of computer and mathematics education	"Karadeniz Technical University, Distance Education Research and Application Center,"
1549-5345	"Endangered species, must they disappear?."	"Information Plus,"
1543-2556	The health care system	"Gale Thomson,"
1534-1909	Gun control.	Information Aids
1749-5326 (electronic)	Education in Chemistry (online edition)	Royal Society of Chemistry.
2472-3428 (electronic)	Annual review of cancer biology	"Annual Reviews,"
2573-1556 (electronic)	IAEE energy forum	Energy Economics Education Foundation
2475-1456 (electronic)	IEEE control systems letters	"IEEE,"
2475-1472 (electronic)	IEEE sensors letters	"IEEE Sensors Council,"
2395-4264 (electronic)	Indian journal of cerebral palsy	Medknow Publications
2329-2210 (electronic)	"International journal of society, culture & language"	"Lulu Press, Inc."
1939-1315 (electronic)	Journal of personality and social psychology	American Psychological Association
2053-4485 (electronic)	Journal of the American Philosophical Association	"Cambridge University Press,"
2381-4683 (electronic)	MDM policy & practice	"SAGE Publications,"
1605-4806 (electronic)	Raz{acute}on y palabra	"[Proyecto Internet del Tecnol{acute}ogico de Monterrey, Campus Estado de M{acute}exico],"
1206-1603 (electronic)	Rescol	"Industrie Canada,"
2473-6562 (electronic)	Romanian journal of artistic creativity	"Addleton Academic Publishers,"
2002-1518 (electronic)	"Society, health & vulnerability"	CoAction Publishing
2223-7682 (electronic)	South African journal of childhood education	"SUN MeDIA Metro,;AOSIS (Pty) Ltd"
2564-7032 (electronic)	Turkish journal of surgery	"T{uml}urk Cerrahi Derne{breve}gi,"
2380-8977 (electronic)	Annals of the International Communication Association	"Routledge, Taylor & Francis,"
0022-1198 (print)	Journal of forensic sciences.	"Callaghan and Co.,"
1549-0971	Health and wellness.	"Gale Group,"
1546-6736	Animal rights.	"Gale,"
1536-5239	"Alcohol and tobacco, America's drugs of choice."	"Information Plus,"
1938-8896	"Alcohol, tobacco, and illicit drugs."	Thomson Gale
1536-5220	"Illegal drugs, America's anguish."	"Information Plus,"
1364-0380 (electronic)	Geometry & topology	"Geometry and Topology Publications, Mathematics Institute, University of Warwick,"
2329-9037 (electronic)	Journal of responsible innovation	"Taylor & Francis Group,"
1534-1631	Growing up in America.	Information Plus
1939-084X (print)	Growing up :	"Thomson Gale,"
1335-1788 (electronic)	Acta Montanistica Slovaca	"Faculty of Mining, Ecology, Process Control and Geotechnologies (FBERG), Technical University of Kosice"
1674-9278 (electronic)	Advances in climate change research	National Climate Center (China Meteorological Administration)
2478-0030 (electronic)	Algerian journal of environmental science and technology	University of Boumerdes
0975-2412 (electronic)	Bharatiya Vaigyanik evam Audyogik Anusandhan Patrika	[National Institute of Science Communication and Information Resources]
2398-2128 (electronic)	Brain and neuroscience advances	
0012-8562 (electronic)	The East Village other	"Joint College Patarealism,"
2042-6860 (electronic)	Faculty dental journal	Royal College of Surgeons of England
2573-0878 (electronic)	The family law newsletter	"Section of Family Law, American Bar Association"
2573-0851 (electronic)	The family lawyer	"Section of Family Law, American Bar Association"
0975-1033 (electronic)	Indian journal of marine sciences	"Council of Scientific & Industrial Research,"
2322-3537 (electronic)	International journal of applied exercise physiology	"IJAEP,"
1938-3215 (electronic)	The Journal of clinical nutrition	"American Society for Nutrition, with assistance from Highwire Press"
1482-1826 (electronic)	Journal of pharmacy & pharmaceutical sciences	"Canadian Society for Pharmaceutical Sciences,"
2309-866X (electronic)	Market forces	"PAF-Kiet,"
2573-0959 (electronic)	Proceedings of the Section	"American Bar Center,"
2470-5047 (electronic)	The Spokeswoman	"[Washington Women's News Service, etc.]"
2573-0924 (electronic)	Summary of proceedings	"American Bar Center,"
1751-231X (electronic)	Water practice & technology	IWA Pub.
1527-1323 (electronic)	Radiographics	Radiological Society of North America ;;High Wire Press
2380-1654	"Gambling, crime or recreation /"	"Information Aids, Inc.,"
1543-4915	"Gambling, what's at stake?"	"Gale Group,"
2373-3861	Gambling in America.	
1536-5204	"Homeless in America, how could it happen here?."	"Information Plus,"
1937-3295	"Social welfare, fighting poverty and homelessness."	Thompson Gale;Gale Cengage Learning
1532-1177	"Social welfare, help or hindrance?."	Information Plus
1536-5190	"Prisons and jails, a deterrent to crime?."	"Information Plus,"
1532-2696 (print)	Crime.	"Information Aids, Inc."
1938-890X (print)	"Crime, prisons, and jails."	"Thomson Gale,"
2059-8521	MRS Advances [brief]	
2399-1984 (electronic)	Nano futures	IOP Publishing
2058-9565 (electronic)	Quantum science and technology.	
2377-3790	IEEE transactions on sustainable computing.	
1546-6426 (print)	Genetics and genetic engineering.	"Gale,"
2567-3459	TH open :	
2512-9465	TH open :	
2455-2445	Journal of global resources.	
1554-4400	The American economy.	"Thomson Gale,"
1536-5263	"Immigration and illegal aliens, burden or blessing."	"Information Aids, Inc."
2471-285X	IEEE transactions on emerging topics in computational intelligence.	
2378-0967 (electronic)	APL photonics	"AIP Publishing LLC,"
1086-5799 (electronic)	CBS News transcripts ondisc	UMI
2374-054X (electronic)	Chaos and complexity letters	Nova Science Publishers
1390-4043 (electronic)	Ciencia y tecnolog{acute}ia	"Universidad Tecnica Estatal de Quevedo,"
2050-4217 (electronic)	Cochrane clinical answers	"Cochrane Innovations Ltd. and John Wiley & Sons, Ltd.,"
1550-4530 (electronic)	Colorado revised statutes	"Bradford Pub. Co.,"
2300-3065 (electronic)	Copernican journal of finance & accounting	"Uniwersytet Miko{lstrok}aja Kopernika w Toruniu,"
1554-9801 (electronic)	DCAA contract audit manual	Defense Contract Audit Agency
1543-3927 (electronic)	DePaul journal of sports law and contemporary problems	DePaul College of Law
2328-6059 (electronic)	Floor covering installer	"Specialist Publications,;News Publications;BNP Media"
2471-2833 (electronic)	IEEE communications standards magazine	Institute of Electrical and Electronics Engineers (IEEE)
2056-4929 (electronic)	International journal of public leadership	"Emerald Group Publishing Limited,"
1447-9567 (electronic)	The international journal of the book	Common Ground Publishing;Common Ground Publishing;Common Ground Publishing
2056-5615 (electronic)	International journal of tourism cities	"Emerald Group Publishing Limited,"
1464-3758 (electronic)	Journal of international economic law	"Oxford University Press,"
2166-2754 (electronic)	Journal of vacuum science and technology.	AVS through the American Institute of Physics
2328-4501 (electronic)	"Manual for courts-martial, United States"	"John Wiley & Sons,;G.P.O.,"
2052-1537 (electronic)	Materials chemistry frontiers	Royal Society of Chemistry
1947-153X (electronic)	Mission critical	"BNP Media II, LLC"
2058-9689 (electronic)	Molecular systems design & engineering	"Royal Society of Chemistry,"
1936-6981 (electronic)	National journal's technology daily	National Journal Group
2160-4487 (electronic)	Phoenix law review	Phoenix School of Law
2164-7976 (electronic)	Pittsburgh journal of environmental and public health law	"University of Pittsburgh School of Law,"
1942-8634 (electronic)	Texas Wesleyan law review	"Texas Wesleyan University School of Law,"
1943-1163 (electronic)	Thomas M. Cooley law review	[Thomas M. Cooley Law School]
2379-4127 (electronic)	United States statutes at large	U.S. G.P.O.
2329-3101 (electronic)	Walls & ceilings	"LMREctor Corporation];BNP Media II, LLC"
1747-7603 (electronic)	Current issues in tourism	"Channel View Books,"
2327-9168 (print)	Legal and illegal immigration.	
2572-7338 (electronic)	Thresholds	"Massachusetts Institute of Technology, Dept. of Architecture,;SA + P Press, MIT School of Arc hitecture + Planning"
1534-1607 (print)	"Child abuse, betraying a trust."	"Information Plus,"
1534-1615 (print)	"Violent relationships, battering and abuse among adults."	"Information Plus,"
2469-9969 (electronic)	Physical review.	"American Physical Society,"
1551-210X	Space exploration.	"Information Plus,"
2475-143X	Technology architecture + design [brief]	
1536-5212	"Water, no longer taken for granted."	"Information Aids, Inc.;Information Plus;Gale Group;Thomson Gale;Gale Cengage Learning"
2173-5778 (electronic)	Actas dermo-sifiliogr{acute}aficas	"Elsevier Espa{tilde}na, Place of publication not identified,"
1537-0844 (electronic)	AIDS clinical care	"Massachusetts Medical Society,"
2352-5738 (electronic)	Biotribology	"Elsevier Ltd.,"
2405-8645 (electronic)	Clinical skin cancer	"Elsevier, Inc.,"
2468-4511 (electronic)	Current opinion in biomedical engineering	Elsevier
2452-3100 (electronic)	Current opinion in systems biology	Elsevier B.V.
1943-8249 (electronic)	East Asia law review	"University of Pennsylvania, East Asian Legal Studies Association,"
2452-3062 (electronic)	Econometrics and statistics	"Elsevier B.V.,"
1579-2099 (electronic)	Educaci{acute}on m{acute}edica	Fundaci{acute}on Educaci{acute}on M{acute}edica
2405-8289 (electronic)	Energy storage materials	"Elsevier B.V.,"
2352-3808 (electronic)	Geomechanics for energy and the environment	"Elsevier Ltd.,"
2369-2529 (electronic)	JMIR rehabilitation and assistive technologies	"JMIR Publications,"
2405-4526 (electronic)	Journal of interprofessional education & practice	"Elsevier,"
2055-6233 (electronic)	Journal of service theory and practice	"Emerald,"
2468-8967 (electronic)	The journal of space safety engineering	"Elsevier Ltd.,"
2265-4224 (electronic)	Manufacturing review	"EDP Sciences,"
2476-3160 (electronic)	Marketing and branding research	"Ardabil Industrial Management Institute,"
2352-9245 (electronic)	Materials discovery	"Elsevier,"
2352-4928 (electronic)	Materials today communications	"Elsevier Ltd.,"
2468-8231 (electronic)	Molecular catalysis	"Elsevier,"
1305-3299 (electronic)	New perspectives on Turkey	"Simon's Rock of Bard College,;Cambridge University Press"
2397-768X (electronic)	NPJ precision oncology	"Springer Nature,"
2405-6022 (electronic)	Nuclear and particle physics proceedings	"Elsevier,"
1791-2431 (electronic)	Oncology reports	"[National Hellenic Research Foundation],"
2468-1717 (electronic)	Personalized medicine in psychiatry	Elsevier Inc.
1806-1230 (electronic)	Revista brasileira em promo{cedil}c{tilde}ao da sa{acute}ude	"Funda{cedil}c{tilde}ao Edson Queiroz, Universidade de Fortaleza"
2340-3284 (electronic)	Revista espa{tilde}nola de anestesiolog{acute}ia y reanimaci{acute}on	Sociedad Espa{tilde}nola de Anestesiolog{acute}ia y Reanimaci{acute}on.
1938-2243 (electronic)	"School Psychology Forum, research in practice"	National Association of School Psychologists
1744-2567 (electronic)	Script-ed	"University of Edinburgh, School of Law, AHRC Research Centre for Studies in Intellectual Property and Technology Law"
2572-3928 (electronic)	Smart and sustainable manufacturing systems	"ASTM International,"
2352-6483 (electronic)	Smart health	Elsevier Inc.
2469-4797 (electronic)	Winter soldier	"Vietnam Veterans Against the War, Inc.;National Collective at VVAW/WSO"
1532-2726 (print)	Death and dying :	"Information Plus,"
1532-1185	Minorities :	Information Plus
2334-542X	Race and ethnicity in America.	
1923-3299 (electronic)	Aboriginal policy studies	"Faculty of Native Studies,"
2147-690X (electronic)	Acta odontologica turcica	"Ortado{breve}gu Reklam Tan{inodot}t{inodot}m Yay{inodot}nc{inodot}l{inodot}k Turizm E{breve}gitim {dot}In{cedil}saat Sanayi ve Ticaret A.{cedil}S.,;Gazi {uml}Universitesi Di{cedil}s Hekimli{breve}gi Fak{uml}ultesi"
1753-5174 (electronic)	Archives of drug information	Blackwell Pub.
2050-2680 (electronic)	Asia & the Pacific policy studies	"Wiley Publishing Asia Pty Ltd :;Crawford School of Public Policy at The Australian National University,;John Wiley & Sons Australia, Ltd ;;Crawford School of Public Policy at The Australian National University"
2157-2933 (electronic)	ASLO web lectures	American Society of Limnology and Oceanography
1308-5875 (electronic)	Bartin Orman Fak{uml}ultesi dergisi	Bartin {uml}Universitesi Orman Fak{uml}ultesi Adina
2380-6761 (electronic)	Bioengineering & translational medicine	"John Wiley & Sons Inc.,"
2474-9842 (electronic)	BJS open	"John Wiley & Sons Ltd.,"
1533-4368 (electronic)	BoneKEy osteovision	[International Bone and Mineral Society]
2455-4626 (electronic)	Brain circulation	"Wolters Kluwer Health - Medknow,"
2050-411X (electronic)	Center for Migration Studies special issues	John Wiley & Sons ;;Center for Migration Studies
2057-4347 (electronic)	Clinical and experimental dental research	"Wiley,"
2046-2484 (electronic)	Clinical liver disease	"John Wiley & Sons,"
